"Title","SRS: FTSE:FTSE100:Total"
"CDID","IAAE"
"Source dataset ID","srs"
"PreUnit",""
"Unit",""
"Release date","29-01-2026"
"Next release",""
"Important notes",
"1998","1110.1"
"1999","1378.6"
"2000","1421.3"
"2001","1242.5"
"2002","957.9"
"2003","1101.2"
"2004","1181.2"
"2005",""
"2006","1414.5"
"2007",""
"2008","979.6"
"2009",""
"2010","1453.0"
"2011",""
"2012","1371.1"
"2013",""
"2014","1538.1"
"2015",""
"2016","1528.7"
"2017",""
"2018","1421.6"
"2019",""
"2020","1520.2"
"2021",""
"2022","1520.2"
"2023",""
"2024","1520.3"
