Quarter,Quarter_Sheet,Area,Homeless_relief,Total_assessments,Homeless_per_1000
2014-06,June_2014_qtr,England,13190,27550,0.6
2014-06,June_2014_qtr,London,3990,7570,1.2
2014-09,September_2014_qtr,England,14040,28510,0.62
2014-09,September_2014_qtr,London,4460,8030,1.3
2014-12,December_2014_qtr,England,13680,28640,0.6
2014-12,December_2014_qtr,London,4690,8690,1.4
2015-03,March_2015_qtr,England,13520,27640,0.6
2015-03,March_2015_qtr,London,4390,7720,1.3
2015-06,June_2015_qtr,England,13840,27440,0.6
2015-06,June_2015_qtr,London,4390,7370,1.3
2015-09,September_2015_qtr,England,14660,28960,0.6
2015-09,September_2015_qtr,London,4690,7880,1.3
2015-12,December_2015_qtr,England,14480,29280,0.63
2015-12,December_2015_qtr,London,5160,8640,1.48
2016-03,March_2016_qtr,England,14760,29090,0.64
2016-03,March_2016_qtr,London,4940,8090,1.42
2016-06,June_2016_qtr,England,15150,29760,0.65
2016-06,June_2016_qtr,London,4890,7900,1.36
2016-09,Sept_2016_qtr,England,14930,29400,0.64
2016-09,Sept_2016_qtr,London,4580,7620,1.28
2016-12,Dec_2016_qtr,England,14420,27960,0.62
2016-12,Dec_2016_qtr,London,4540,7310,1.26
2017-03,Mar_2017_qtr,England,14610,28490,0.62
2017-03,Mar_2017_qtr,London,4060,6820,1.11
2017-06,Jun_2017_qtr,England,14360,27480,0.61
2017-06,Jun_2017_qtr,London,4010,6680,1.1
2017-09,Sep_2017_qtr,England,15280,29360,0.65
2017-09,Sep_2017_qtr,London,4400,7320,1.2
2017-12,Dec_2017_qtr,England,13640,26890,0.58
2017-12,Dec_2017_qtr,London,3690,6310,1.01
2018-03,Mar_2018_qtr,England,13320,25750,0.57
2018-03,Mar_2018_qtr,London,3380,5820,0.93
